Daily N pools and fluxes at site W-2 in year 1,,,,,,,,,,,,,,,,,,,3.151352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N uptake,,N pools (kg N/ha),,,,,,,,,,,,,,,,N gas fluxes (kg N/ha/day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Crop,Urea,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH4+,NO3-,exchengeable-NH4,NH3,N2O-flux,NO-flux,N2-flux,NH3-flux,NO3-leach,Urea-leach,DON-leach,ION-runoff,Gross N mineralization,N assimilation,Ice_DOC,Ice_N,Ice_N2O,Ice_N2,nitrification,nitrification,nitrification,nitrification,nitrification,denitrification,denitrification,denitrification,denitrification,denitrification,N_fixation,Litter_N,SON0-10cm, SON10-20cm,SON20-30cm,SON30-40cm,SON40-50cm,SON0-10cm, SON10-20cm,SON20-30cm,SON30-40cm,SON40-50cm
,kgN/ha/day,,0-10cm,0-10cm,0-10cm,10-20cm,10-20cm,10-20cm,20-30cm,20-30cm,20-30cm,30-40cm,30-40cm,30-40cm,40-50cm,40-50cm,40-50cm,0-50cm,,,,,,,,,,,,,,,0-10cm,10-20cm,20-30cm,30-40cm,40-50cm,0-10cm,10-20cm,20-30cm,30-40cm,40-50cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,0,0.84,0.53,0.03,0.41,0.26,0.2,0.3,0.03,0.18,0.21,0,0.13,0.15,0,0,0.000018,0.000012,0.000158,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000012,0.000012,0,0,0,0,0,0,0,0,0,0,1919.61,1609.25,1219.57,924.26,1231.31,0.002,0.0017,0.0013,0.001,0.0006
15,0,0,0.01,0.93,0.61,0.04,0.4,0.27,0.21,0.29,0.03,0.18,0.21,0,0.14,0.15,0,0,0.002194,0.000023,0.000087,0.03,0.0181,0,0,0,0.05,0.02,0,0,0,0,0.002199,0.000006,0,0,0,0,0,0,0,0,0,0,1919.6,1609.25,1219.57,924.25,1231.3,0.002,0.0017,0.0013,0.001,0.0006
16,0,0,0,0.95,0.64,0.04,0.4,0.28,0.22,0.29,0.03,0.19,0.21,0,0.15,0.15,0,0,0.000638,0.000021,0.00056,0.01,0.0067,0,0,0,0.05,0.02,0,0,0,0,0.000318,0.000003,0,0,0,0,0,0,0,0,0,0,1919.6,1609.24,1219.56,924.25,1231.29,0.002,0.0017,0.0013,0.001,0.0006
17,0,0,0,0.95,0.65,0.04,0.39,0.29,0.23,0.29,0.03,0.2,0.2,0,0.15,0.14,0,0,0.000195,0.000016,0.000258,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000092,0.000017,0,0,0,0,0,0,0,0,0,0,1919.59,1609.23,1219.55,924.24,1231.28,0.002,0.0017,0.0013,0.001,0.0006
18,0,0,0,0.94,0.66,0.04,0.39,0.3,0.24,0.28,0.03,0.21,0.2,0,0.16,0.14,0,0,0.000053,0.000013,0.000186,0,0,0,0,0,0.05,0.02,0,0,0,0,0.00002,0.000018,0,0,0,0,0,0,0,0,0,0,1919.58,1609.22,1219.55,924.24,1231.27,0.002,0.0017,0.0013,0.001,0.0006
19,0,0,0,0.94,0.66,0.05,0.39,0.31,0.25,0.28,0.03,0.21,0.2,0,0.16,0.14,0,0,0.000016,0.000011,0.000154,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000014,0.000018,0,0,0,0,0,0,0,0,0,0,1919.57,1609.22,1219.54,924.23,1231.26,0.002,0.0017,0.0013,0.001,0.0006
20,0,0,0,0.94,0.67,0.05,0.38,0.31,0.26,0.28,0.03,0.22,0.2,0,0.17,0.14,0,0,0.000005,0.000009,0.000142,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000014,0.000019,0,0,0,0,0,0,0,0,0,0,1919.57,1609.21,1219.54,924.23,1231.25,0.002,0.0017,0.0013,0.001,0.0006
21,0,0,0.01,1.03,0.76,0.06,0.37,0.32,0.27,0.28,0.03,0.23,0.2,0,0.17,0.14,0,0,0.002955,0.000023,0.000087,0.04,0.0196,0,0,0,0.06,0.02,0,0,0,0,0.00246,0.000009,0,0,0,0,0,0,0,0,0,0,1919.55,1609.2,1219.53,924.22,1231.25,0.002,0.0017,0.0013,0.001,0.0006
22,0,0,0,1.07,0.81,0.07,0.37,0.33,0.28,0.27,0.03,0.23,0.2,0,0.18,0.14,0,0,0.000389,0.000023,0.00167,0.02,0.0105,0,0,0,0.06,0.03,0,0,0,0,0.000808,0.000007,0,0,0,0,0,0,0,0,0,0,1919.54,1609.19,1219.52,924.21,1231.24,0.002,0.0017,0.0013,0.001,0.0006
23,0,0,0,1.07,0.83,0.07,0.37,0.34,0.29,0.27,0.03,0.24,0.19,0,0.18,0.14,0,0,0.00011,0.000019,0.000614,0,0,0,0,0,0.06,0.02,0,0,0,0,0.000167,0.000028,0,0,0,0,0,0,0,0,0,0,1919.53,1609.18,1219.51,924.21,1231.23,0.002,0.0017,0.0013,0.001,0.0006
24,0,0,0,1.07,0.85,0.08,0.36,0.35,0.3,0.27,0.03,0.25,0.19,0,0.19,0.14,0,0,0.000036,0.000015,0.000226,0.01,0.0038,0,0,0,0.06,0.02,0,0,0,0,0.000092,0.000004,0,0,0,0,0,0,0,0,0,0,1919.51,1609.17,1219.51,924.2,1231.22,0.002,0.0017,0.0013,0.001,0.0006
25,0,0,0.01,1.15,0.93,0.08,0.35,0.36,0.31,0.27,0.03,0.26,0.19,0,0.19,0.14,0,0,0.002683,0.000024,0.000073,0.04,0.0211,0,0,0,0.06,0.02,0,0,0,0,0.002322,0.000014,0,0,0,0,0,0,0,0,0,0,1919.5,1609.16,1219.5,924.2,1231.21,0.002,0.0017,0.0013,0.001,0.0006
26,0,0,0.01,1.28,1.06,0.09,0.34,0.37,0.32,0.26,0.03,0.26,0.18,0,0.2,0.13,0,0,0.008219,0.000027,0.000077,0.06,0.0339,0,0,0,0.06,0.02,0,0,0,0,0.004071,0.000016,0,0,0,0,0,0,0,0,0,0,1919.49,1609.15,1219.49,924.19,1231.21,0.002,0.0017,0.0013,0.001,0.0006
27,0,0,0,1.27,1.07,0.1,0.33,0.38,0.33,0.25,0.03,0.27,0.18,0,0.21,0.13,0,0,0.004603,0.000024,0.000061,0,0.001,0,0,0,0.06,0.02,0,0,0,0,0.000015,0.000001,0,0,0,0,0,0,0,0,0,0,1919.48,1609.14,1219.48,924.19,1231.2,0.002,0.0017,0.0013,0.001,0.0006
28,0,0,0,1.27,1.08,0.1,0.33,0.39,0.34,0.25,0.03,0.28,0.18,0,0.21,0.13,0,0,0.001538,0.000019,0.000033,0,0.0005,0,0,0,0.05,0.02,0,0,0,0,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,1919.47,1609.14,1219.48,924.18,1231.19,0.002,0.0017,0.0013,0.001,0.0006
29,0,0,0,1.27,1.09,0.11,0.33,0.4,0.35,0.25,0.03,0.29,0.18,0,0.22,0.13,0,0,0.000475,0.000015,0.000136,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000027,0.000043,0,0,0,0,0,0,0,0,0,0,1919.46,1609.13,1219.47,924.17,1231.18,0.002,0.0017,0.0013,0.001,0.0006
30,0,0,0,1.26,1.1,0.11,0.33,0.4,0.36,0.25,0.03,0.29,0.18,0,0.22,0.13,0,0,0.000129,0.000012,0.000181,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000023,0.000044,0,0,0,0,0,0,0,0,0,0,1919.46,1609.12,1219.46,924.17,1231.17,0.002,0.0017,0.0013,0.001,0.0006
31,0,0,0,1.26,1.11,0.11,0.32,0.41,0.37,0.25,0.03,0.3,0.18,0,0.23,0.13,0,0,0.000036,0.00001,0.000164,0,0,0,0,0,0.04,0.02,0,0,0,0,0.000019,0.000044,0,0,0,0,0,0,0,0,0,0,1919.45,1609.12,1219.46,924.16,1231.16,0.002,0.0017,0.0013,0.001,0.0006
32,0,0,0,1.26,1.12,0.12,0.32,0.41,0.37,0.25,0.03,0.31,0.18,0,0.23,0.13,0,0,0.000011,0.000008,0.000158,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000021,0.000044,0,0,0,0,0,0,0,0,0,0,1919.45,1609.11,1219.45,924.16,1231.16,0.002,0.0017,0.0013,0.001,0.0006
33,0,0,0,1.26,1.13,0.12,0.32,0.42,0.38,0.25,0.03,0.31,0.18,0,0.24,0.13,0,0,0.000004,0.000007,0.000164,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000025,0.000044,0,0,0,0,0,0,0,0,0,0,1919.44,1609.1,1219.45,924.15,1231.15,0.002,0.0017,0.0013,0.001,0.0006
34,0,0,0,1.25,1.14,0.13,0.32,0.43,0.39,0.25,0.03,0.32,0.18,0,0.24,0.13,0,0,0.000002,0.000006,0.000163,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000028,0.000044,0,0,0,0,0,0,0,0,0,0,1919.43,1609.1,1219.44,924.15,1231.14,0.002,0.0017,0.0013,0.001,0.0006
35,0,0,0,1.25,1.14,0.13,0.31,0.43,0.4,0.25,0.03,0.33,0.18,0,0.25,0.13,0,0,0.000002,0.000005,0.000163,0,0,0,0,0,0.05,0.02,0,0,0,0,0.000024,0.000044,0,0,0,0,0,0,0,0,0,0,1919.42,1609.09,1219.43,924.14,1231.13,0.002,0.0017,0.0013,0.001,0.0006
36,0,0,0,1.25,1.15,0.13,0.31,0.44,0.41,0.24,0.03,0.33,0.18,0,0.25,0.13,0,0,0.000002,0.000004,0.000162,0,0,0,0,0,0.04,0.01,0,0,0,0,0.000026,0.000044,0,0,0,0,0,0,0,0,0,0,1919.42,1609.08,1219.43,924.14,1231.12,0.002,0.0017,0.0013,0.001,0.0006
37,0,0,0,1.24,1.16,0.14,0.31,0.44,0.42,0.24,0.03,0.34,0.18,0,0.26,0.13,0,0,0.000002,0.000004,0.000159,0,0,0,0,0,0.04,0.01,0,0,0,0,0.000024,0.000044,0,0,0,0,0,0,0,0,0,0,1919.41,1609.08,1219.42,924.13,1231.12,0.002,0.0017,0.0013,0.001,0.0006
38,0,0,0,1.24,1.17,0.14,0.31,0.45,0.43,0.24,0.03,0.35,0.18,0,0.26,0.12,0,0,0.000002,0.000003,0.00016,0,0,0,0,0,0.04,0.02,0,0,0,0,0.000024,0.000044,0,0,0,0,0,0,0,0,0,0,1919.4,1609.07,1219.42,924.13,1231.11,0.002,0.0017,0.0013,0.001,0.0006
39,0,0,0,1.24,1.18,0.14,0.31,0.45,0.43,0.24,0.03,0.35,0.17,0,0.27,0.12,0,0,0.000002,0.000003,0.000158,0,0,0,0,0,0.04,0.01,0,0,0,0,0.000025,0.000044,0,0,0,0,0,0,0,0,0,0,1919.4,1609.07,1219.41,924.12,1231.1,0.002,0.0017,0.0013,0.001,0.0006
40,0,0,0,1.24,1.18,0.15,0.3,0.46,0.44,0.24,0.03,0.36,0.17,0,0.27,0.12,0,0,0.000001,0.000003,0.000163,0,0,0,0,0,0.04,0.02,0,0,0,0,0.000023,0.000044,0,0,0,0,0,0,0,0,0,0,1919.39,1609.06,1219.4,924.12,1231.09,0.002,0.0017,0.0013,0.001,0.0006
41,0,0,0,1.23,1.2,0.15,0.3,0.47,0.45,0.24,0.03,0.37,0.17,0,0.28,0.12,0,0,0.000001,0.000003,0.000203,0,0,0,0,0,0.06,0.02,0,0,0,0,0.000025,0.000044,0,0,0,0,0,0,0,0,0,0,1919.38,1609.05,1219.4,924.11,1231.08,0.002,0.0017,0.0013,0.001,0.0006
42,0,0,0.01,1.36,1.33,0.16,0.29,0.48,0.46,0.23,0.03,0.37,0.17,0,0.28,0.12,0,0,0.008898,0.000014,0.000179,0.06,0.0329,0,0,0,0.07,0.03,0,0,0,0,0.00417,0.000027,0,0,0,0.01,0,0,0,0,0,0,1919.36,1609.04,1219.39,924.1,1231.08,0.002,0.0017,0.0013,0.001,0.0006
43,0,0,0.01,1.36,1.35,0.17,0.28,0.49,0.48,0.23,0.03,0.38,0.17,0,0.29,0.12,0,0,0.005016,0.000016,0.000736,0,0,0,0,0,0.07,0.02,0,0,0,0,0.000528,0.000068,0,0,0,0,0,0,0,0,0,0,1919.35,1609.03,1219.38,924.1,1231.07,0.002,0.0017,0.0013,0.001,0.0006
44,0,0,0.01,1.36,1.36,0.17,0.28,0.49,0.49,0.23,0.03,0.39,0.17,0,0.29,0.12,0,0,0.001343,0.000013,0.000729,0,0,0,0,0,0.07,0.02,0,0,0,0,0.000393,0.000068,0,0,0,0,0,0,0,0,0,0,1919.34,1609.02,1219.37,924.09,1231.06,0.002,0.0017,0.0013,0.001,0.0006
45,0,0,0.01,1.35,1.38,0.18,0.28,0.5,0.5,0.23,0.03,0.4,0.17,0,0.3,0.12,0,0,0.000374,0.00001,0.000315,0,0.0011,0,0,0,0.08,0.03,0,0,0,0,0.000024,0.000004,0,0,0,0,0,0,0,0,0,0,1919.32,1609.01,1219.36,924.08,1231.05,0.002,0.0017,0.0013,0.001,0.0006
46,0,0,0.02,1.49,1.53,0.2,0.26,0.51,0.51,0.22,0.03,0.41,0.16,0,0.31,0.11,0,0,0.010457,0.000012,0.000181,0.08,0.0424,0,0,0,0.06,0.02,0,0,0,0,0.004582,0.000029,0,0,0,0,0.01,0,0,0,0,0,1919.31,1609,1219.35,924.08,1231.04,0.002,0.0017,0.0013,0.001,0.0006
47,0,0,0.02,1.49,1.53,0.21,0.26,0.52,0.52,0.21,0.03,0.41,0.16,0,0.31,0.11,0,0,0.006465,0.000013,0.000912,0.01,0,0,0,0,0.05,0.02,0,0,0,0,0.000988,0.000089,0,0,0,0,0,0,0,0,0,0,1919.3,1608.99,1219.34,924.07,1231.03,0.002,0.0017,0.0013,0.001,0.0006
48,0,0,0.02,1.49,1.53,0.21,0.25,0.52,0.53,0.21,0.03,0.42,0.16,0,0.32,0.11,0,0,0.001745,0.000011,0.00086,0.01,0,0,0,0,0.05,0.02,0,0,0,0,0.000921,0.000089,0,0,0,0,0,0,0,0,0,0,1919.3,1608.98,1219.34,924.06,1231.02,0.002,0.0017,0.0013,0.001,0.0006
49,0,0,0.02,1.49,1.53,0.22,0.25,0.52,0.54,0.21,0.03,0.43,0.16,0,0.32,0.11,0,0,0.000468,0.000009,0.000502,0.01,0,0,0,0,0.05,0.02,0,0,0,0,0.000869,0.000089,0,0,0,0,0,0,0,0,0,0,1919.29,1608.98,1219.33,924.06,1231.01,0.002,0.0017,0.0013,0.001,0.0006
50,0,0,0.02,1.48,1.54,0.22,0.25,0.53,0.55,0.21,0.03,0.44,0.16,0,0.33,0.11,0,0,0.000125,0.000007,0.000321,0.01,0,0,0,0,0.05,0.02,0,0,0,0,0.000822,0.000088,0,0,0,0,0,0,0,0,0,0,1919.28,1608.97,1219.32,924.05,1231,0.002,0.0017,0.0013,0.001,0.0006
51,0,0,0.02,1.48,1.55,0.23,0.25,0.53,0.56,0.21,0.03,0.44,0.15,0,0.33,0.11,0,0,0.000033,0.000006,0.000266,0.01,0,0,0,0,0.06,0.02,0,0,0,0,0.000781,0.000087,0,0,0,0,0,0,0,0,0,0,1919.27,1608.96,1219.31,924.04,1230.99,0.002,0.0017,0.0013,0.001,0.0006
52,0,0,0.02,1.48,1.55,0.24,0.25,0.54,0.57,0.21,0.03,0.45,0.15,0,0.34,0.11,0,0,0.000009,0.000005,0.000253,0.01,0,0,0,0,0.06,0.02,0,0,0,0,0.000745,0.000087,0,0,0,0,0,0,0,0,0,0,1919.26,1608.95,1219.31,924.04,1230.98,0.002,0.0017,0.0013,0.001,0.0006
53,0,0,0.02,1.48,1.56,0.24,0.24,0.55,0.58,0.21,0.03,0.46,0.15,0,0.34,0.11,0,0,0.000003,0.000004,0.000246,0.01,0,0,0,0,0.06,0.02,0,0,0,0,0.000711,0.000086,0,0,0,0,0,0,0,0,0,0,1919.25,1608.94,1219.3,924.03,1230.97,0.002,0.0017,0.0013,0.001,0.0006
54,0,0,0.02,1.47,1.57,0.25,0.24,0.55,0.59,0.21,0.03,0.47,0.15,0,0.35,0.11,0,0,0.000002,0.000004,0.000253,0.01,0,0,0,0,0.06,0.02,0,0,0,0,0.000678,0.000086,0,0,0,0,0,0,0,0,0,0,1919.24,1608.93,1219.29,924.02,1230.97,0.002,0.0017,0.0013,0.001,0.0006
55,0,0,0.02,1.47,1.59,0.26,0.24,0.56,0.61,0.21,0.03,0.48,0.15,0,0.36,0.11,0,0,0.000002,0.000004,0.000343,0.01,0,0,0,0,0.1,0.03,0,0,0,0,0.000648,0.000086,0,0,0,0,0,0,0,0,0,0,1919.21,1608.92,1219.28,924.01,1230.95,0.002,0.0017,0.0013,0.001,0.0006
56,0,0,0.02,1.46,1.6,0.27,0.24,0.57,0.63,0.21,0.03,0.49,0.15,0,0.37,0.11,0,0,0.000002,0.000003,0.000175,0.01,0.001,0,0,0,0.09,0.03,0,0,0,0,0.000055,0.000008,0,0,0,0,0,0,0,0,0,0,1919.19,1608.9,1219.26,924,1230.94,0.002,0.0017,0.0013,0.001,0.0006
57,0,0,0.02,1.46,1.61,0.28,0.24,0.57,0.64,0.21,0.03,0.5,0.15,0,0.37,0.11,0,0,0.000001,0.000002,0.000209,0.01,0,0,0,0,0.08,0.03,0,0,0,0,0.000848,0.000122,0,0,0,0,0,0,0,0,0,0,1919.18,1608.89,1219.25,923.99,1230.92,0.002,0.0017,0.0013,0.001,0.0006
58,0,0,0.03,1.56,1.72,0.3,0.23,0.58,0.66,0.2,0.03,0.51,0.15,0,0.38,0.11,0,0,0.007155,0.000009,0.000209,0.06,0.0274,0,0,0,0.09,0.03,0,0,0,0,0.003768,0.000053,0,0,0,0,0,0,0,0,0,0,1919.16,1608.88,1219.24,923.98,1230.91,0.002,0.0017,0.0013,0.001,0.0006
59,0,0,0.04,1.66,1.82,0.31,0.21,0.59,0.68,0.19,0.03,0.53,0.14,0,0.39,0.1,0,0,0.010637,0.000015,0.000199,0.06,0.03,0,0,0,0.09,0.03,0,0,0,0,0.004004,0.000056,0,0,0,0,0,0,0,0,0,0,1919.15,1608.86,1219.23,923.97,1230.9,0.002,0.0017,0.0013,0.001,0.0006
60,0,0,0.04,1.69,1.87,0.32,0.21,0.6,0.69,0.19,0.03,0.54,0.14,0,0.4,0.1,0,0,0.00041,0.000019,0.005923,0.03,0.0115,0,0,0,0.08,0.03,0,0,0,0,0.001129,0.000035,0,0,0,0,0,0,0,0,0,0,1919.13,1608.85,1219.21,923.96,1230.88,0.002,0.0017,0.0013,0.001,0.0006
61,0,0,0.04,1.69,1.87,0.33,0.21,0.61,0.71,0.19,0.03,0.55,0.14,0,0.41,0.1,0,0,0.000113,0.000016,0.001744,0.01,0,0,0,0,0.08,0.03,0,0,0,0,0.00167,0.000146,0,0,0,0,0,0,0,0,0,0,1919.11,1608.84,1219.2,923.95,1230.87,0.002,0.0017,0.0013,0.001,0.0006
62,0,0,0.04,1.69,1.88,0.34,0.21,0.62,0.72,0.19,0.03,0.56,0.14,0,0.41,0.1,0,0,0.000035,0.000013,0.000667,0.01,0,0,0,0,0.08,0.03,0,0,0,0,0.001565,0.000143,0,0,0,0,0,0,0,0,0,0,1919.1,1608.82,1219.19,923.94,1230.86,0.002,0.0017,0.0013,0.001,0.0006
63,0,0,0.04,1.69,1.88,0.35,0.2,0.62,0.73,0.19,0.03,0.57,0.14,0,0.42,0.1,0,0,0.000011,0.000011,0.000398,0.01,0,0,0,0,0.08,0.02,0,0,0,0,0.001473,0.000141,0,0,0,0,0,0,0,0,0,0,1919.08,1608.81,1219.18,923.93,1230.84,0.002,0.0017,0.0013,0.001,0.0006
64,0,0,0.04,1.68,1.89,0.36,0.2,0.63,0.75,0.19,0.03,0.58,0.14,0,0.43,0.1,0,0,0.000004,0.000009,0.000322,0.01,0,0,0,0,0.07,0.02,0,0,0,0,0.001393,0.000139,0,0,0,0,0,0,0,0,0,0,1919.07,1608.8,1219.17,923.92,1230.83,0.002,0.0017,0.0013,0.001,0.0006
65,0,0,0.04,1.68,1.89,0.37,0.2,0.64,0.76,0.19,0.03,0.59,0.14,0,0.43,0.1,0,0,0.000003,0.000007,0.000295,0.01,0,0,0,0,0.06,0.02,0,0,0,0,0.00132,0.000137,0,0,0,0,0,0,0,0,0,0,1919.06,1608.79,1219.16,923.92,1230.82,0.002,0.0017,0.0013,0.001,0.0006
66,0,0,0.04,1.68,1.89,0.37,0.2,0.64,0.77,0.19,0.03,0.6,0.14,0,0.44,0.1,0,0,0.000002,0.000006,0.000301,0.01,0,0,0,0,0.07,0.02,0,0,0,0,0.001251,0.000135,0,0,0,0,0,0,0,0,0,0,1919.05,1608.78,1219.15,923.91,1230.81,0.002,0.0017,0.0013,0.001,0.0006
67,0,0,0.04,1.68,1.9,0.38,0.2,0.65,0.79,0.19,0.03,0.61,0.14,0,0.45,0.1,0,0,0.000001,0.000005,0.000309,0.01,0,0,0,0,0.07,0.02,0,0,0,0,0.001192,0.000133,0,0,0,0,0,0,0,0,0,0,1919.03,1608.77,1219.14,923.9,1230.8,0.002,0.0017,0.0013,0.001,0.0006
68,0,0,0.05,1.73,1.95,0.39,0.19,0.66,0.8,0.18,0.03,0.61,0.14,0,0.45,0.1,0,0,0.001277,0.000011,0.000161,0.03,0.0117,0,0,0,0.09,0.03,0,0,0,0,0.001443,0.000049,0,0,0,0,0,0,0,0,0,0,1919.01,1608.76,1219.13,923.89,1230.79,0.002,0.0017,0.0013,0.001,0.0006
