Climate_2021	
319	13.66	0.000
320	13.21	0.000
321	13.03	0.000
322	13.50	0.000
323	13.85	0.000
324	14.97	0.000
325	12.90	0.000
326	4.78	0.000
327	5.63	0.000
328	5.63	0.000
329	10.64	0.000
330	10.44	0.000
331	11.29	0.000
332	13.52	0.000
333	14.30	0.299
334	6.65	0.000
335	5.20	0.000
336	6.16	0.000
337	7.54	0.000
338	8.38	0.000
339	9.51	0.000
340	9.64	0.000
341	9.73	0.000
342	10.16	0.000
343	9.85	0.000
344	9.46	0.000
345	10.44	0.000
346	6.63	0.000
347	4.99	0.000
348	7.90	0.000
349	10.52	0.393
350	2.93	0.000
351	2.93	0.000
352	2.55	0.000
353	6.00	0.000
354	7.23	0.000
355	7.68	0.000
356	5.68	0.000
357	9.15	0.000
358	5.24	0.037
359	-0.80	0.000
360	-2.43	0.000
361	-0.79	0.000
362	1.77	0.000
363	3.30	0.000
364	3.12	0.000
365	4.10	0.000
